Year,Sex,Family status,Immigrant admission category,Landing age group,Income type,VALUE
2006,Both sexes,Dependents,"Business class, spouses and dependents",20 to 24 years,All income,3200
2006,Both sexes,Dependents,"Business class, spouses and dependents",25 to 34 years,All income,4000
2006,Both sexes,Dependents,Family class - parent or grandparent,25 to 34 years,All income,9600
2006,Both sexes,Dependents,Humanitarian and compassionate cases,20 to 24 years,All income,7400
2006,Both sexes,Dependents,Humanitarian and compassionate cases,25 to 34 years,All income,17500
2006,Both sexes,Dependents,Humanitarian and compassionate cases,35 to 44 years,All income,20000
2006,Both sexes,Dependents,Humanitarian and compassionate cases,Less than 20 years,All income,4600
2006,Both sexes,Dependents,"Live-in caregivers, spouses and dependents",35 to 44 years,All income,15800
2006,Both sexes,Dependents,Refugee dependents,20 to 24 years,All income,7200
2006,Both sexes,Dependents,Refugee dependents,25 to 34 years,All income,15400
2006,Both sexes,Dependents,Refugee dependents,35 to 44 years,All income,39000
2006,Both sexes,Dependents,Refugees landed in Canada,20 to 24 years,All income,6900
2006,Both sexes,Dependents,Refugees landed in Canada,25 to 34 years,All income,11600
2006,Both sexes,Dependents,Refugees landed in Canada,35 to 44 years,All income,16100
2006,Both sexes,Dependents,Refugees landed in Canada,45 to 54 years,All income,13700
2006,Both sexes,Dependents,"Skilled workers, spouses and dependents",20 to 24 years,All income,6700
2006,Both sexes,Dependents,"Skilled workers, spouses and dependents",25 to 34 years,All income,10500
2006,Both sexes,Principal applicants,"Business class, principal applicants",25 to 34 years,All income,320000
2006,Both sexes,Principal applicants,"Business class, principal applicants",35 to 44 years,All income,17100
2006,Both sexes,Principal applicants,"Business class, principal applicants",45 to 54 years,All income,47000
2006,Both sexes,Principal applicants,"Business class, principal applicants",55 to 64 years,All income,55000
2006,Both sexes,Principal applicants,"Canadian experience class, principal applicants",20 to 24 years,All income,8200
2006,Both sexes,Principal applicants,"Canadian experience class, principal applicants",25 to 34 years,All income,13300
2006,Both sexes,Principal applicants,"Canadian experience class, principal applicants",35 to 44 years,All income,76000
2006,Both sexes,Principal applicants,"Canadian experience class, principal applicants",45 to 54 years,All income,191000
2006,Both sexes,Principal applicants,"Canadian experience class, principal applicants",55 to 64 years,All income,148000
2006,Both sexes,Principal applicants,"Canadian experience class, principal applicants",65 years and over,All income,143000
2006,Both sexes,Principal applicants,Family class - parent or grandparent,45 to 54 years,All income,19500
2006,Both sexes,Principal applicants,Family class - parent or grandparent,55 to 64 years,All income,20000
2006,Both sexes,Principal applicants,Family class - parent or grandparent,65 years and over,All income,13500
2006,Both sexes,Principal applicants,Family class - spouses and partners,20 to 24 years,All income,10300
2006,Both sexes,Principal applicants,Family class - spouses and partners,25 to 34 years,All income,17700
2006,Both sexes,Principal applicants,Family class - spouses and partners,35 to 44 years,All income,32000
2006,Both sexes,Principal applicants,Family class - spouses and partners,45 to 54 years,All income,41000
2006,Both sexes,Principal applicants,Family class - spouses and partners,55 to 64 years,All income,58000
2006,Both sexes,Principal applicants,Family class - spouses and partners,65 years and over,All income,45000
2006,Both sexes,Principal applicants,Humanitarian and compassionate cases,20 to 24 years,All income,12900
2006,Both sexes,Principal applicants,Humanitarian and compassionate cases,25 to 34 years,All income,21000
2006,Both sexes,Principal applicants,Humanitarian and compassionate cases,35 to 44 years,All income,26000
2006,Both sexes,Principal applicants,Humanitarian and compassionate cases,45 to 54 years,All income,25000
2006,Both sexes,Principal applicants,Humanitarian and compassionate cases,55 to 64 years,All income,23000
2006,Both sexes,Principal applicants,Humanitarian and compassionate cases,65 years and over,All income,17000
2006,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",20 to 24 years,All income,10900
2006,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",25 to 34 years,All income,12300
2006,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",35 to 44 years,All income,13300
2006,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",45 to 54 years,All income,14100
2006,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",55 to 64 years,All income,13700
2006,Both sexes,Principal applicants,Other immigrants,25 to 34 years,All income,20000
2006,Both sexes,Principal applicants,Other immigrants,35 to 44 years,All income,30000
2006,Both sexes,Principal applicants,Other immigrants,45 to 54 years,All income,43000
2006,Both sexes,Principal applicants,Other immigrants,55 to 64 years,All income,42000
2006,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",20 to 24 years,All income,10700
2006,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",25 to 34 years,All income,14500
2006,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",35 to 44 years,All income,43000
2006,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",45 to 54 years,All income,50000
2006,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",55 to 64 years,All income,126000
2006,Both sexes,Principal applicants,Refugee dependents,25 to 34 years,All income,22000
2006,Both sexes,Principal applicants,Refugee dependents,35 to 44 years,All income,35000
2006,Both sexes,Principal applicants,Refugee dependents,45 to 54 years,All income,14300
2006,Both sexes,Principal applicants,Refugees landed in Canada,20 to 24 years,All income,8500
2006,Both sexes,Principal applicants,Refugees landed in Canada,25 to 34 years,All income,15800
2006,Both sexes,Principal applicants,Refugees landed in Canada,35 to 44 years,All income,19200
2006,Both sexes,Principal applicants,Refugees landed in Canada,45 to 54 years,All income,18700
2006,Both sexes,Principal applicants,Refugees landed in Canada,55 to 64 years,All income,15000
2006,Both sexes,Principal applicants,Refugees landed in Canada,65 years and over,All income,10300
2006,Both sexes,Principal applicants,"Skilled workers, principal applicants",20 to 24 years,All income,10700
